name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Kytococcus sedentarius	1276	species	2785024	1	1	0.0
Staphylococcus aureus	1280	species	3402804	102	94	0.0
Staphylococcus epidermidis	1282	species	2601987	10	6	0.0
Staphylococcus hominis	1290	species	2253412	1	1	0.0
Deinococcus	1298	genus	4067791	1	0	0.0
Streptococcus gordonii	1302	species	2196662	4	0	0.0
Streptococcus oralis	1303	species	1926449	1	0	0.0
Streptococcus salivarius	1304	species	2213879	1	1	0.0
Streptococcus thermophilus	1308	species	1844731	17	6	0.0
Streptococcus agalactiae	1311	species	2101680	1	0	0.0
Streptococcus pneumoniae	1313	species	2114074	1	0	0.0
Streptococcus pyogenes	1314	species	1944914	2	0	0.0
Streptococcus parauberis	1348	species	2152278	2	1	0.0
Enterococcus faecalis	1351	species	3027316	3	2	0.0
Enterococcus faecium	1352	species	2880142	314	31	0.0
Lactococcus	1357	genus	5503080	1	0	0.0
Lactococcus lactis	1358	species	9501787	43	19	0.0
Lactococcus cremoris	1359	species	2519936	24	6	0.0
Lactococcus lactis subsp. lactis	1360	subspecies	43722135	36	7	0.0
Lactococcus garvieae	1363	species	1957049	2	0	0.0
Lancefieldella parvula	1382	species	1543805	2	0	0.0
Bacillales	1385	order	4846096	3	0	0.0
Bacillus	1386	genus	6486421	3	0	0.0
Bacillus anthracis	1392	species	5860829	7	7	0.0
Bacillus cereus	1396	species	6509544	1	0	0.0
Weizmannia coagulans	1398	species	3330766	1	1	0.0
Priestia megaterium	1404	species	6383812	7	0	0.0
Evansella cellulosilytica	1413	species	4681672	3	0	0.0
Bacillus thuringiensis	1428	species	6812999	8	4	0.0
Sporosarcina pasteurii	1474	species	3253966	2	2	0.0
Clostridium	1485	genus	4671230	102	0	0.0
Clostridium botulinum	1491	species	4218882	9255	7470	0.0
Clostridioides difficile	1496	species	4736882	5	3	0.0
Clostridium tetani	1513	species	2869591	76365	68928	0.0
Erysipelatoclostridium ramosum	1547	species	3247604	2	0	0.0
Sporosarcina	1569	genus	0	2	0	0.0
Leifsonia xyli	1575	species	2635288	5	3	0.0
Lactiplantibacillus plantarum	1590	species	5352135	16136	16092	0.0
Lactobacillus gasseri	1596	species	1922956	3	0	0.0
Lacticaseibacillus paracasei	1597	species	10036952	2	0	0.0
Limosilactobacillus reuteri	1598	species	2114305	1	1	0.0
Latilactobacillus sakei	1599	species	1952609	29	29	0.0
Loigolactobacillus coryniformis	1610	species	3045091	4	0	0.0
Limosilactobacillus vaginalis	1633	species	1894710	4	3	0.0
Actinomyces	1654	genus	3097489	92	0	0.0
Corynebacterium stationis	1705	species	8587058	2	0	0.0
Cellulomonas fimi	1708	species	4266344	2	0	0.0
Cellulosimicrobium cellulans	1710	species	9019668	2	0	0.0
Cellulomonas flavigena	1711	species	4123179	1	0	0.0
Corynebacterium xerosis	1725	species	5560360	10	8	0.0
Cutibacterium acnes	1747	species	2709544	120	58	0.0
Acidipropionibacterium acidipropionici	1748	species	3656170	3	0	0.0
Arachnia propionica	1750	species	3449360	1	0	0.0
Actinomycetia	1760	class	5782235	102	0	0.0
Mycobacterium avium	1764	species	18453475	3	2	0.0
